troop1,troop2,troop3,troop4,troop5,troop6,troop7,->,trait1,trait2,trait3,trait4,trait5,trait6
archer_queen,bandit,barbarians,dart_goblin,gold_knight,monk,musketeer,->,ace_2,assassin_2,clan_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,dart_goblin,gold_knight,monk,prince,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gold_knight,prince,spear_gobs,->,assassin_2,brawler_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gold_knight,princess,spear_gobs,->,assassin_2,blaster_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,mega_knight,princess,spear_gobs,->,ace_2,blaster_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,mega_knight,royal_ghost,skele_king,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,dart_goblin,mega_knight,royal_ghost,spear_gobs,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,mega_knight,royal_ghost,witch,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,dart_goblin,monk,musketeer,prince,->,ace_2,brawler_2,clan_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,dart_goblin,monk,royal_ghost,witch,->,ace_2,assassin_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,dart_goblin,prince,princess,spear_gobs,->,blaster_2,brawler_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,barbarians,elec_giant,goblins,mega_knight,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,giant_2,ranger_2
archer_queen,bandit,barbarians,elec_giant,goblins,monk,royal_giant,->,ace_2,assassin_2,clan_2,giant_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,gold_knight,mega_knight,musketeer,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,gold_knight,mega_knight,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,giant_2,ranger_2
archer_queen,bandit,barbarians,elec_giant,gold_knight,monk,prince,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,gold_knight,monk,royal_giant,->,ace_2,assassin_2,clan_2,giant_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,gold_knight,musketeer,royal_giant,->,assassin_2,clan_2,giant_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,gold_knight,prince,royal_giant,->,assassin_2,brawler_2,clan_2,giant_2,noble_2,ranger_2
archer_queen,bandit,barbarians,elec_giant,mega_knight,musketeer,royal_giant,->,ace_2,brawler_2,clan_2,giant_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,mega_knight,royal_ghost,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,giant_2,ranger_2
archer_queen,bandit,barbarians,elec_giant,mega_knight,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,elec_giant,mega_knight,royal_ghost,witch,->,ace_2,assassin_2,brawler_2,clan_2,superstar_2,undead_2
archer_queen,bandit,barbarians,elec_giant,mega_knight,royal_giant,witch,->,ace_2,brawler_2,clan_2,giant_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,mega_knight,skele_drag,witch,->,ace_2,brawler_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,elec_giant,monk,pekka,royal_giant,->,ace_2,brawler_2,clan_2,giant_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,monk,prince,royal_giant,->,ace_2,brawler_2,clan_2,giant_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,monk,royal_ghost,royal_giant,->,ace_2,assassin_2,clan_2,giant_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,monk,royal_ghost,skele_drag,->,ace_2,assassin_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,elec_giant,musketeer,prince,royal_giant,->,brawler_2,clan_2,giant_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,elec_giant,royal_ghost,royal_giant,witch,->,assassin_2,clan_2,giant_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,executioner,goblins,pekka,spear_gobs,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,goblin_2
archer_queen,bandit,barbarians,executioner,goblins,prince,princess,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,noble_2
archer_queen,bandit,barbarians,executioner,goblins,prince,spear_gobs,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,goblin_2
archer_queen,bandit,barbarians,executioner,goblins,royal_giant,spear_gobs,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,executioner,goblins,skele_drag,spear_gobs,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,executioner,gold_knight,pekka,princess,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,noble_2
archer_queen,bandit,barbarians,executioner,gold_knight,prince,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,executioner,gold_knight,prince,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,executioner,gold_knight,prince,spear_gobs,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,noble_2
archer_queen,bandit,barbarians,executioner,gold_knight,princess,royal_giant,->,ace_2,assassin_2,blaster_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,executioner,gold_knight,princess,skele_drag,->,ace_2,assassin_2,blaster_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,executioner,pekka,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,executioner,prince,princess,royal_ghost,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,noble_2
archer_queen,bandit,barbarians,executioner,prince,princess,royal_giant,->,ace_2,blaster_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,executioner,prince,princess,skele_drag,->,ace_2,blaster_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,executioner,prince,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,executioner,princess,royal_ghost,skele_drag,->,ace_2,assassin_2,blaster_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,executioner,royal_ghost,skele_drag,spear_gobs,->,ace_2,assassin_2,blaster_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,gob_machine,goblins,mega_knight,mini_pekka,->,ace_2,assassin_2,brawler_2,brutalist_2,clan_2,goblin_2
archer_queen,bandit,barbarians,gob_machine,goblins,mega_knight,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,gob_machine,goblins,mega_knight,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,gob_machine,goblins,mega_knight,skele_king,->,ace_2,assassin_2,brawler_2,brutalist_2,clan_2,goblin_2
archer_queen,bandit,barbarians,gob_machine,goblins,mini_pekka,pekka,->,assassin_2,brawler_2,brutalist_2,clan_2,goblin_2,pekka_2
archer_queen,bandit,barbarians,gob_machine,goblins,skele_drag,skele_king,->,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2,undead_2
archer_queen,bandit,barbarians,gob_machine,mega_knight,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,gob_machine,mega_knight,royal_ghost,skele_king,->,ace_2,assassin_2,brawler_2,brutalist_2,clan_2,undead_2
archer_queen,bandit,barbarians,gob_machine,mega_knight,skele_drag,skele_king,->,ace_2,brawler_2,brutalist_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,goblins,mega_knight,princess,spear_gobs,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,goblin_2
archer_queen,bandit,barbarians,goblins,mega_knight,royal_giant,spear_gobs,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,goblins,mega_knight,skele_drag,skele_king,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,goblins,mega_knight,skele_drag,spear_gobs,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,goblins,mega_knight,skele_drag,witch,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,goblins,monk,musketeer,prince,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,superstar_2
archer_queen,bandit,barbarians,goblins,monk,skele_drag,witch,->,ace_2,assassin_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,goblins,prince,princess,spear_gobs,->,assassin_2,blaster_2,brawler_2,clan_2,goblin_2,noble_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,musketeer,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,musketeer,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,musketeer,witch,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,superstar_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,princess,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,princess,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,princess,spear_gobs,->,ace_2,assassin_2,blaster_2,brawler_2,clan_2,noble_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,skele_drag,skele_king,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,gold_knight,mega_knight,skele_drag,witch,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,gold_knight,monk,musketeer,pekka,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,superstar_2
archer_queen,bandit,barbarians,gold_knight,monk,musketeer,royal_giant,->,ace_2,assassin_2,clan_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,gold_knight,monk,musketeer,skele_drag,->,ace_2,assassin_2,clan_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,gold_knight,monk,prince,royal_giant,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,gold_knight,monk,prince,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,gold_knight,monk,prince,witch,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,superstar_2
archer_queen,bandit,barbarians,gold_knight,monk,skele_drag,witch,->,ace_2,assassin_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,gold_knight,musketeer,skele_drag,witch,->,assassin_2,clan_2,noble_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,gold_knight,prince,skele_drag,skele_king,->,assassin_2,brawler_2,clan_2,noble_2,ranger_2,undead_2
archer_queen,bandit,barbarians,gold_knight,prince,skele_drag,witch,->,assassin_2,brawler_2,clan_2,noble_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mega_knight,mini_pekka,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mega_knight,mini_pekka,royal_ghost,skele_king,->,ace_2,assassin_2,brawler_2,brutalist_2,clan_2,undead_2
archer_queen,bandit,barbarians,mega_knight,mini_pekka,skele_drag,skele_king,->,ace_2,brawler_2,brutalist_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mega_knight,musketeer,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mega_knight,musketeer,royal_ghost,witch,->,ace_2,assassin_2,brawler_2,clan_2,superstar_2,undead_2
archer_queen,bandit,barbarians,mega_knight,musketeer,skele_drag,witch,->,ace_2,brawler_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,mega_knight,princess,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mega_knight,royal_ghost,royal_giant,skele_king,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mega_knight,royal_ghost,royal_giant,witch,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mega_knight,royal_ghost,skele_drag,spear_gobs,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mini_pekka,pekka,royal_ghost,skele_drag,->,assassin_2,brawler_2,clan_2,pekka_2,ranger_2,undead_2
archer_queen,bandit,barbarians,mini_pekka,pekka,royal_ghost,skele_king,->,assassin_2,brawler_2,brutalist_2,clan_2,pekka_2,undead_2
archer_queen,bandit,barbarians,mini_pekka,pekka,skele_drag,skele_king,->,brawler_2,brutalist_2,clan_2,pekka_2,ranger_2,undead_2
archer_queen,bandit,barbarians,monk,musketeer,prince,royal_ghost,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,superstar_2
archer_queen,bandit,barbarians,monk,musketeer,prince,royal_giant,->,ace_2,brawler_2,clan_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,monk,musketeer,prince,skele_drag,->,ace_2,brawler_2,clan_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,monk,musketeer,royal_ghost,skele_drag,->,ace_2,assassin_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,monk,pekka,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,monk,pekka,royal_ghost,witch,->,ace_2,assassin_2,brawler_2,clan_2,superstar_2,undead_2
archer_queen,bandit,barbarians,monk,pekka,skele_drag,witch,->,ace_2,brawler_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,monk,prince,royal_ghost,skele_drag,->,ace_2,assassin_2,brawler_2,clan_2,ranger_2,undead_2
archer_queen,bandit,barbarians,monk,prince,royal_ghost,witch,->,ace_2,assassin_2,brawler_2,clan_2,superstar_2,undead_2
archer_queen,bandit,barbarians,monk,prince,skele_drag,witch,->,ace_2,brawler_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,monk,royal_ghost,royal_giant,witch,->,ace_2,assassin_2,clan_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,musketeer,prince,royal_ghost,skele_drag,->,assassin_2,brawler_2,clan_2,noble_2,ranger_2,undead_2
archer_queen,bandit,barbarians,musketeer,prince,royal_ghost,witch,->,assassin_2,brawler_2,clan_2,noble_2,superstar_2,undead_2
archer_queen,bandit,barbarians,musketeer,prince,skele_drag,witch,->,brawler_2,clan_2,noble_2,ranger_2,superstar_2,undead_2
archer_queen,bandit,barbarians,prince,princess,royal_ghost,skele_drag,->,assassin_2,brawler_2,clan_2,noble_2,ranger_2,undead_2
archer_queen,bandit,dart_goblin,elec_giant,executioner,goblins,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,elec_giant,gob_machine,monk,valkyrie,->,ace_2,brutalist_2,clan_2,goblin_2,ranger_2,superstar_2
archer_queen,bandit,dart_goblin,elec_giant,goblins,monk,valkyrie,->,ace_2,assassin_2,clan_2,goblin_2,ranger_2,superstar_2
archer_queen,bandit,dart_goblin,elec_giant,goblins,monk,wizard,->,ace_2,assassin_2,clan_2,goblin_2,ranger_2,superstar_2
archer_queen,bandit,dart_goblin,elec_giant,monk,spear_gobs,wizard,->,ace_2,blaster_2,clan_2,goblin_2,ranger_2,superstar_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,gold_knight,princess,->,ace_2,assassin_2,blaster_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,gold_knight,valkyrie,->,ace_2,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,gold_knight,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,mini_pekka,wizard,->,ace_2,blaster_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,princess,valkyrie,->,ace_2,blaster_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,royal_ghost,skele_king,->,ace_2,assassin_2,brutalist_2,goblin_2,ranger_2,undead_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,royal_ghost,valkyrie,->,ace_2,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,royal_ghost,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gob_machine,skele_king,wizard,->,ace_2,blaster_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,mini_pekka,valkyrie,->,ace_2,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,mini_pekka,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,musketeer,princess,->,ace_2,assassin_2,blaster_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,musketeer,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,pekka,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,prince,princess,->,ace_2,assassin_2,blaster_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,prince,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,princess,valkyrie,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,skele_king,valkyrie,->,ace_2,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,skele_king,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,goblins,witch,wizard,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gold_knight,musketeer,spear_gobs,->,ace_2,assassin_2,blaster_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gold_knight,musketeer,wizard,->,ace_2,assassin_2,blaster_2,clan_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gold_knight,prince,spear_gobs,->,ace_2,assassin_2,blaster_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gold_knight,prince,wizard,->,ace_2,assassin_2,blaster_2,clan_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gold_knight,princess,valkyrie,->,ace_2,assassin_2,blaster_2,clan_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,gold_knight,spear_gobs,valkyrie,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,mini_pekka,spear_gobs,valkyrie,->,ace_2,blaster_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,royal_ghost,skele_king,spear_gobs,->,ace_2,assassin_2,blaster_2,goblin_2,ranger_2,undead_2
archer_queen,bandit,dart_goblin,executioner,royal_ghost,skele_king,valkyrie,->,ace_2,assassin_2,brutalist_2,clan_2,ranger_2,undead_2
archer_queen,bandit,dart_goblin,executioner,royal_ghost,skele_king,wizard,->,ace_2,assassin_2,blaster_2,clan_2,ranger_2,undead_2
archer_queen,bandit,dart_goblin,executioner,royal_ghost,spear_gobs,valkyrie,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,executioner,royal_ghost,spear_gobs,witch,->,ace_2,assassin_2,blaster_2,goblin_2,ranger_2,undead_2
archer_queen,bandit,dart_goblin,executioner,royal_ghost,witch,wizard,->,ace_2,assassin_2,blaster_2,clan_2,ranger_2,undead_2
archer_queen,bandit,dart_goblin,executioner,skele_king,spear_gobs,valkyrie,->,ace_2,blaster_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,mega_knight,prince,->,ace_2,assassin_2,brawler_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,mega_knight,valkyrie,->,ace_2,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,monk,musketeer,->,ace_2,assassin_2,goblin_2,noble_2,ranger_2,superstar_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,monk,valkyrie,->,ace_2,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,musketeer,valkyrie,->,assassin_2,brutalist_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,prince,valkyrie,->,assassin_2,brutalist_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,princess,valkyrie,->,assassin_2,brutalist_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,gold_knight,princess,wizard,->,assassin_2,blaster_2,clan_2,goblin_2,noble_2,ranger_2
