troop1,troop2,troop3,troop4,troop5,troop6,troop7,->,trait1,trait2,trait3,trait4,trait5
bandit,goblins,gold_knight,monk,princess,royal_ghost,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2,noble_2
bandit,goblins,gold_knight,monk,princess,royal_ghost,witch,->,ace_2,assassin_4,noble_2,superstar_2,undead_2
bandit,goblins,gold_knight,monk,royal_ghost,spear_gobs,witch,->,ace_2,assassin_4,goblin_2,superstar_2,undead_2
bandit,goblins,gold_knight,musketeer,royal_ghost,spear_gobs,witch,->,assassin_4,goblin_2,noble_2,superstar_2,undead_2
bandit,goblins,gold_knight,princess,royal_ghost,skele_drag,spear_gobs,->,assassin_4,blaster_2,goblin_2,noble_2,undead_2
bandit,goblins,gold_knight,princess,royal_ghost,skele_king,spear_gobs,->,assassin_4,blaster_2,goblin_2,noble_2,undead_2
bandit,goblins,gold_knight,princess,royal_ghost,spear_gobs,witch,->,assassin_4,blaster_2,goblin_2,noble_2,undead_2
archer_queen,barbarians,dart_goblin,executioner,gob_machine,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,executioner,mega_knight,valkyrie,wizard,->,ace_2,blaster_2,brawler_2,clan_4,ranger_2
archer_queen,barbarians,dart_goblin,gob_machine,mega_knight,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,gob_machine,pekka,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,gob_machine,prince,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,gob_machine,princess,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,gob_machine,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,mega_knight,spear_gobs,valkyrie,wizard,->,blaster_2,brawler_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,mini_pekka,pekka,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,pekka_2,ranger_2
archer_queen,barbarians,dart_goblin,mini_pekka,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,pekka,spear_gobs,valkyrie,wizard,->,blaster_2,brawler_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,prince,princess,valkyrie,wizard,->,blaster_2,brawler_2,clan_4,noble_2,ranger_2
archer_queen,barbarians,dart_goblin,prince,spear_gobs,valkyrie,wizard,->,blaster_2,brawler_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,skele_king,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,executioner,gob_machine,mega_knight,valkyrie,wizard,->,ace_2,blaster_2,brawler_2,brutalist_2,clan_4
archer_queen,barbarians,executioner,mega_knight,mini_pekka,valkyrie,wizard,->,ace_2,blaster_2,brawler_2,brutalist_2,clan_4
archer_queen,barbarians,executioner,mega_knight,royal_giant,valkyrie,wizard,->,ace_2,blaster_2,brawler_2,clan_4,ranger_2
archer_queen,barbarians,executioner,mega_knight,skele_drag,valkyrie,wizard,->,ace_2,blaster_2,brawler_2,clan_4,ranger_2
archer_queen,barbarians,executioner,mega_knight,skele_king,valkyrie,wizard,->,ace_2,blaster_2,brawler_2,brutalist_2,clan_4
archer_queen,barbarians,executioner,mini_pekka,pekka,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,pekka_2
archer_queen,barbarians,executioner,skele_drag,skele_king,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,ranger_2,undead_2
archer_queen,barbarians,gob_machine,mega_knight,spear_gobs,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,goblin_2
archer_queen,barbarians,gob_machine,pekka,spear_gobs,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,goblin_2
archer_queen,barbarians,gob_machine,prince,princess,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,noble_2
archer_queen,barbarians,gob_machine,prince,spear_gobs,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,goblin_2
archer_queen,barbarians,gob_machine,royal_giant,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,gob_machine,skele_drag,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,mega_knight,skele_drag,skele_king,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,ranger_2,undead_2
archer_queen,barbarians,mini_pekka,pekka,princess,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,pekka_2
archer_queen,barbarians,mini_pekka,pekka,royal_giant,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,pekka_2,ranger_2
archer_queen,barbarians,mini_pekka,pekka,skele_drag,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,pekka_2,ranger_2
archer_queen,barbarians,mini_pekka,pekka,spear_gobs,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,pekka_2
archer_queen,barbarians,mini_pekka,prince,princess,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,noble_2
archer_queen,barbarians,pekka,skele_drag,skele_king,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,ranger_2,undead_2
archer_queen,barbarians,prince,princess,royal_giant,valkyrie,wizard,->,blaster_2,brawler_2,clan_4,noble_2,ranger_2
archer_queen,barbarians,prince,princess,skele_drag,valkyrie,wizard,->,blaster_2,brawler_2,clan_4,noble_2,ranger_2
archer_queen,barbarians,prince,princess,skele_king,valkyrie,wizard,->,blaster_2,brawler_2,brutalist_2,clan_4,noble_2
archer_queen,barbarians,prince,skele_drag,skele_king,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,ranger_2,undead_2
archer_queen,barbarians,princess,skele_drag,skele_king,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,ranger_2,undead_2
archer_queen,barbarians,skele_drag,skele_king,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,ranger_2,undead_2
bandit,barbarians,executioner,gold_knight,musketeer,prince,princess,->,ace_2,assassin_2,blaster_2,brawler_2,noble_4
bandit,barbarians,gold_knight,monk,musketeer,prince,princess,->,ace_2,assassin_2,brawler_2,noble_4,superstar_2
bandit,barbarians,gold_knight,musketeer,prince,princess,wizard,->,assassin_2,blaster_2,brawler_2,clan_2,noble_4
bandit,elec_giant,executioner,gold_knight,musketeer,prince,princess,->,ace_2,assassin_2,blaster_2,noble_4,superstar_2
bandit,elec_giant,gold_knight,mega_knight,musketeer,prince,princess,->,ace_2,assassin_2,brawler_2,noble_4,superstar_2
bandit,executioner,gold_knight,mega_knight,musketeer,prince,princess,->,ace_2,assassin_2,blaster_2,brawler_2,noble_4
bandit,executioner,gold_knight,monk,musketeer,prince,princess,->,ace_2,assassin_2,blaster_2,noble_4,superstar_2
bandit,executioner,gold_knight,musketeer,pekka,prince,princess,->,ace_2,assassin_2,blaster_2,brawler_2,noble_4
bandit,executioner,gold_knight,musketeer,prince,princess,witch,->,ace_2,assassin_2,blaster_2,noble_4,superstar_2
bandit,gold_knight,mega_knight,monk,musketeer,prince,princess,->,ace_2,assassin_2,brawler_2,noble_4,superstar_2
bandit,gold_knight,mega_knight,musketeer,prince,princess,spear_gobs,->,ace_2,assassin_2,blaster_2,brawler_2,noble_4
bandit,gold_knight,mega_knight,musketeer,prince,princess,witch,->,ace_2,assassin_2,brawler_2,noble_4,superstar_2
bandit,gold_knight,mega_knight,musketeer,prince,princess,wizard,->,ace_2,assassin_2,blaster_2,brawler_2,noble_4
bandit,gold_knight,monk,musketeer,pekka,prince,princess,->,ace_2,assassin_2,brawler_2,noble_4,superstar_2
bandit,gold_knight,monk,musketeer,prince,princess,spear_gobs,->,ace_2,assassin_2,blaster_2,noble_4,superstar_2
bandit,gold_knight,monk,musketeer,prince,princess,wizard,->,ace_2,assassin_2,blaster_2,noble_4,superstar_2
barbarians,elec_giant,gold_knight,musketeer,prince,princess,wizard,->,blaster_2,brawler_2,clan_2,noble_4,superstar_2
barbarians,executioner,gold_knight,monk,musketeer,prince,princess,->,ace_2,blaster_2,brawler_2,noble_4,superstar_2
barbarians,goblins,gold_knight,musketeer,prince,princess,spear_gobs,->,assassin_2,blaster_2,brawler_2,goblin_2,noble_4
barbarians,goblins,gold_knight,musketeer,prince,princess,wizard,->,assassin_2,blaster_2,brawler_2,clan_2,noble_4
barbarians,gold_knight,monk,musketeer,prince,princess,wizard,->,blaster_2,brawler_2,clan_2,noble_4,superstar_2
barbarians,gold_knight,musketeer,prince,princess,royal_ghost,witch,->,assassin_2,brawler_2,noble_4,superstar_2,undead_2
barbarians,gold_knight,musketeer,prince,princess,royal_ghost,wizard,->,assassin_2,blaster_2,brawler_2,clan_2,noble_4
barbarians,gold_knight,musketeer,prince,princess,witch,wizard,->,blaster_2,brawler_2,clan_2,noble_4,superstar_2
elec_giant,executioner,gold_knight,mega_knight,musketeer,prince,princess,->,ace_2,blaster_2,brawler_2,noble_4,superstar_2
elec_giant,goblins,gold_knight,musketeer,prince,princess,spear_gobs,->,assassin_2,blaster_2,goblin_2,noble_4,superstar_2
executioner,goblins,gold_knight,mega_knight,musketeer,prince,princess,->,ace_2,assassin_2,blaster_2,brawler_2,noble_4
executioner,goblins,gold_knight,monk,musketeer,prince,princess,->,ace_2,assassin_2,blaster_2,noble_4,superstar_2
executioner,gold_knight,mega_knight,monk,musketeer,prince,princess,->,ace_2,blaster_2,brawler_2,noble_4,superstar_2
executioner,gold_knight,mega_knight,musketeer,prince,princess,royal_ghost,->,ace_2,assassin_2,blaster_2,brawler_2,noble_4
executioner,gold_knight,mega_knight,musketeer,prince,princess,witch,->,ace_2,blaster_2,brawler_2,noble_4,superstar_2
executioner,gold_knight,monk,musketeer,pekka,prince,princess,->,ace_2,blaster_2,brawler_2,noble_4,superstar_2
executioner,gold_knight,monk,musketeer,prince,princess,royal_ghost,->,ace_2,assassin_2,blaster_2,noble_4,superstar_2
executioner,gold_knight,musketeer,prince,princess,royal_ghost,witch,->,assassin_2,blaster_2,noble_4,superstar_2,undead_2
goblins,gold_knight,mega_knight,monk,musketeer,prince,princess,->,ace_2,assassin_2,brawler_2,noble_4,superstar_2
goblins,gold_knight,mega_knight,musketeer,prince,princess,spear_gobs,->,assassin_2,blaster_2,brawler_2,goblin_2,noble_4
goblins,gold_knight,monk,musketeer,prince,princess,spear_gobs,->,assassin_2,blaster_2,goblin_2,noble_4,superstar_2
goblins,gold_knight,musketeer,pekka,prince,princess,spear_gobs,->,assassin_2,blaster_2,brawler_2,goblin_2,noble_4
goblins,gold_knight,musketeer,prince,princess,spear_gobs,witch,->,assassin_2,blaster_2,goblin_2,noble_4,superstar_2
gold_knight,mega_knight,monk,musketeer,prince,princess,royal_ghost,->,ace_2,assassin_2,brawler_2,noble_4,superstar_2
gold_knight,mega_knight,monk,musketeer,prince,princess,spear_gobs,->,ace_2,blaster_2,brawler_2,noble_4,superstar_2
gold_knight,mega_knight,monk,musketeer,prince,princess,wizard,->,ace_2,blaster_2,brawler_2,noble_4,superstar_2
gold_knight,mega_knight,musketeer,prince,princess,royal_ghost,witch,->,assassin_2,brawler_2,noble_4,superstar_2,undead_2
gold_knight,musketeer,pekka,prince,princess,royal_ghost,witch,->,assassin_2,brawler_2,noble_4,superstar_2,undead_2
gold_knight,musketeer,prince,princess,royal_ghost,spear_gobs,witch,->,assassin_2,blaster_2,noble_4,superstar_2,undead_2
gold_knight,musketeer,prince,princess,royal_ghost,witch,wizard,->,assassin_2,blaster_2,noble_4,superstar_2,undead_2
bandit,elec_giant,gold_knight,monk,musketeer,royal_ghost,witch,->,ace_2,assassin_2,noble_2,superstar_4,undead_2
bandit,elec_giant,gold_knight,monk,musketeer,royal_giant,witch,->,ace_2,assassin_2,giant_2,noble_2,superstar_4
bandit,elec_giant,gold_knight,monk,musketeer,skele_drag,witch,->,ace_2,assassin_2,noble_2,superstar_4,undead_2
bandit,elec_giant,gold_knight,monk,musketeer,skele_king,witch,->,ace_2,assassin_2,noble_2,superstar_4,undead_2
bandit,elec_giant,monk,musketeer,prince,royal_ghost,witch,->,ace_2,assassin_2,noble_2,superstar_4,undead_2
bandit,elec_giant,monk,musketeer,princess,royal_ghost,witch,->,ace_2,assassin_2,noble_2,superstar_4,undead_2
bandit,elec_giant,monk,musketeer,royal_ghost,royal_giant,witch,->,ace_2,assassin_2,giant_2,superstar_4,undead_2
bandit,elec_giant,monk,musketeer,royal_giant,skele_drag,witch,->,ace_2,giant_2,ranger_2,superstar_4,undead_2
elec_giant,executioner,gold_knight,monk,musketeer,royal_ghost,witch,->,ace_2,assassin_2,noble_2,superstar_4,undead_2
elec_giant,executioner,monk,musketeer,princess,royal_ghost,witch,->,ace_2,blaster_2,noble_2,superstar_4,undead_2
elec_giant,executioner,monk,musketeer,princess,royal_giant,witch,->,ace_2,blaster_2,giant_2,noble_2,superstar_4
elec_giant,executioner,monk,musketeer,princess,skele_drag,witch,->,ace_2,blaster_2,noble_2,superstar_4,undead_2
elec_giant,executioner,monk,musketeer,princess,skele_king,witch,->,ace_2,blaster_2,noble_2,superstar_4,undead_2
elec_giant,executioner,monk,musketeer,royal_giant,skele_drag,witch,->,ace_2,giant_2,ranger_2,superstar_4,undead_2
elec_giant,gold_knight,mega_knight,monk,musketeer,royal_ghost,witch,->,ace_2,assassin_2,noble_2,superstar_4,undead_2
elec_giant,gold_knight,monk,musketeer,royal_ghost,royal_giant,witch,->,assassin_2,giant_2,noble_2,superstar_4,undead_2
elec_giant,gold_knight,monk,musketeer,royal_giant,skele_drag,witch,->,giant_2,noble_2,ranger_2,superstar_4,undead_2
elec_giant,mega_knight,monk,musketeer,prince,royal_ghost,witch,->,ace_2,brawler_2,noble_2,superstar_4,undead_2
elec_giant,mega_knight,monk,musketeer,prince,royal_giant,witch,->,ace_2,brawler_2,giant_2,noble_2,superstar_4
elec_giant,mega_knight,monk,musketeer,prince,skele_drag,witch,->,ace_2,brawler_2,noble_2,superstar_4,undead_2
elec_giant,mega_knight,monk,musketeer,prince,skele_king,witch,->,ace_2,brawler_2,noble_2,superstar_4,undead_2
elec_giant,mega_knight,monk,musketeer,royal_giant,skele_drag,witch,->,ace_2,giant_2,ranger_2,superstar_4,undead_2
elec_giant,monk,musketeer,prince,royal_giant,skele_drag,witch,->,giant_2,noble_2,ranger_2,superstar_4,undead_2
elec_giant,monk,musketeer,princess,royal_giant,skele_drag,witch,->,giant_2,noble_2,ranger_2,superstar_4,undead_2
bandit,barbarians,elec_giant,executioner,mega_knight,monk,wizard,->,ace_4,blaster_2,brawler_2,clan_2,superstar_2
bandit,barbarians,executioner,goblins,mega_knight,monk,spear_gobs,->,ace_4,assassin_2,blaster_2,brawler_2,goblin_2
bandit,barbarians,executioner,goblins,mega_knight,monk,wizard,->,ace_4,assassin_2,blaster_2,brawler_2,clan_2
bandit,barbarians,executioner,gold_knight,mega_knight,monk,musketeer,->,ace_4,assassin_2,brawler_2,noble_2,superstar_2
bandit,barbarians,executioner,gold_knight,mega_knight,monk,princess,->,ace_4,assassin_2,blaster_2,brawler_2,noble_2
bandit,barbarians,executioner,gold_knight,mega_knight,monk,wizard,->,ace_4,assassin_2,blaster_2,brawler_2,clan_2
bandit,barbarians,executioner,mega_knight,monk,musketeer,princess,->,ace_4,blaster_2,brawler_2,noble_2,superstar_2
